Subject,Crew,Seat,Run #,Scenario ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
101,1,left,0,7,5,4,4,3,5,nan,nan,nan,4,nan,5,5,5,5,5,nan
101,1,left,1,2,5,5,4,nan,4,4,nan,5,5,5,4,4,4,5,5,5
101,1,left,2,5,4,4,4,5,4,nan,4,nan,4,5,5,5,5,4,4,5
101,1,left,3,1,4,3,4,4,4,nan,nan,nan,4,4,4,5,5,4,4,5
101,1,left,4,6,5,5,4,4,3,nan,nan,nan,4,5,4,5,nan,4,4,5
101,1,left,5,3,5,5,4,4,3,4,5,4,5,5,5,5,5,4,5,5
102,1,right,0,7,5,5,5,5,5,nan,nan,nan,4,nan,nan,nan,5,nan,3,nan
102,1,right,1,2,4,4,4,4,5,5,5,5,5,5,4,5,5,nan,4,5
102,1,right,2,5,4,5,5,4,nan,4,4,4,5,5,nan,4,4,5,4,5
102,1,right,3,1,4,5,4,4,4,nan,5,nan,4,3,4,5,5,5,4,4
102,1,right,4,6,4,4,4,4,5,nan,5,nan,nan,5,4,5,nan,5,4,5
102,1,right,5,3,4,nan,4,4,4,nan,4,4,5,5,5,5,5,5,5,5
102,2,left,0,7,5,4,5,nan,5,nan,5,5,nan,nan,nan,nan,5,5,5,5
201,2,left,1,2,4,4,5,2,5,5,5,5,nan,4,nan,5,5,5,5,5
201,2,left,2,5,5,5,nan,5,5,5,5,5,5,5,nan,5,5,5,5,5
201,2,left,3,3,5,5,5,5,nan,nan,nan,5,nan,4,nan,nan,5,5,5,5
201,2,left,4,1,5,5,5,nan,5,nan,5,nan,nan,5,nan,nan,5,nan,5,5
201,2,left,5,6,3,3,3,5,nan,5,5,3,2,5,nan,2,5,3,3,4
202,2,right,0,7,5,5,4,4,5,4,4,4,5,4,3,3,3,4,4,5
202,2,right,1,2,5,5,4,5,4,5,5,5,5,4,4,5,5,5,4,5
202,2,right,2,5,5,4,4,4,4,5,4,4,5,5,4,5,5,4,4,5
