,crew,seat,scenario,gaze_variance_control,gaze_variance_event1,gaze_variance_event2,gaze_vel_avg_control,gaze_vel_avg_event1,gaze_vel_avg_event2,gaze_vel_std_control,gaze_vel_std_event1,gaze_vel_std_event2,headHeading_avg_control,headHeading_avg_event1,headHeading_avg_event2,headHeading_std_control,headHeading_std_event1,headHeading_std_event2,pupilD_avg_control,pupilD_avg_event1,pupilD_avg_event2,pupilD_std_control,pupilD_std_event1,pupilD_std_event2
0,1.0,0.0,1.0,0.02593878647822421,0.0,0.0,145.6441366204554,212.7509072202829,155.46941778932197,316.3780324222488,527.6561719809354,329.23903684430735,-3.352553708419637,-3.2502268612861807,-1.1825317653275553,421.9215711347625,285.6232790159538,420.73388844673605,0.0036576457213041537,0.0035895181382827996,0.0031585537677991777,0.002443447835147911,0.0028363888664113737,0.0016048646708410202
1,1.0,1.0,1.0,0.08641289334789798,0.10498287806757926,0.06948290484446457,256.03676152508405,278.49849451433545,234.45331080441778,459.564277255452,502.2873394548809,473.7344513469386,0.836333391759703,-0.01986803643090335,0.1583526992623483,255.74883430610157,250.72360768414038,66.90295246820195,0.003559807841336117,0.003608807084668192,0.003656865906779661,0.0010022126752039242,0.0010934830474684577,0.0006470271712898215
2,1.0,0.0,2.0,0.08136949941562872,0.06539155763301119,0.014313620039565591,110.75596623888023,192.6877054541812,127.84269690912755,208.32278455111665,359.42912361510497,301.6787246049097,-3.756536453722819,-2.46946227836074,0.7803459545056172,222.8679704640131,187.49490845562534,347.59053374646993,0.003227130388447271,0.003648128634493192,0.0036715144765684053,0.0017043451504123038,0.0033799231346574193,0.0034667163777892017
3,1.0,1.0,2.0,0.04708054323850863,0.14813110891087308,0.0,233.32781451909744,286.74359353167677,312.3521148719494,393.7849753424588,905.447968194671,539.5572723385391,-6.150858878897333,-4.023681074498394,-0.8242042109355159,530.8533417015585,365.77154542891327,169.47778189071306,0.003917204564102564,0.003799661753951038,0.00332066517280046,0.0010463007126092245,0.0011789985874712347,0.0006840682021887688
4,1.0,0.0,3.0,0.048973698745428534,0.0,0.0,145.96599059068174,270.8970148107542,251.48576710995837,272.55884976414,572.920668843052,537.4838638860629,-1.5799240369340457,-2.123494372211728,-1.431870171811441,151.3890974620079,208.6904419513888,146.1022741254017,0.003742858696165192,0.005520741239848914,0.0032608817287519474,0.0014753366454104673,0.006583167991068725,0.0010552690339824169
5,1.0,1.0,3.0,0.03399756181561711,0.030114778395642854,0.18494214969577236,275.357592171452,358.6522866902448,296.05780028324693,487.3787319392292,552.3843814524819,589.3350843914834,-3.208700299468197,0.39665709742517524,0.8032122949585734,264.6522516421672,97.51690927587983,104.50415236651654,0.00344926225,0.003809884881980426,0.0032289722817579773,0.0011555043780206338,0.0019496133164675158,0.000843067921730292
6,1.0,0.0,5.0,0.49394061129302924,0.0,0.04655644749091674,150.68529440741804,155.6641207262036,175.42797188344161,372.1948196494541,348.7136469735398,381.1480428158841,-2.854501029931054,-1.3529060356714264,-0.06065430792779441,437.9597397805047,315.5016495698385,91.69148094607785,0.0035954008965517243,0.0032249989424375917,0.0034576249939485626,0.0020876320855746726,0.0028834335839178892,0.002676022582387742
7,1.0,1.0,5.0,0.0,0.09933698463263448,0.0,205.7296603508102,411.942629876777,240.19093198824973,352.363471334063,619.3138960474479,419.2723181763422,-0.24954874040970842,-0.35209685886548536,-1.347977086135096,201.29373779833804,187.96676392223682,232.05261098257682,0.0038864747395833334,0.0032679240062526054,0.0035824190431654676,0.0009633017875462345,0.002603943244122869,0.0004799436220237606
8,1.0,0.0,6.0,0.07425209907743792,0.07428491753017906,0.04343282683994025,169.41852905109903,148.14076701635128,151.26085000414835,439.1861035505178,381.88366236973815,322.9345533026552,-2.2986380848523624,-1.9983114001049618,4.989737543677763,355.4678026957432,387.56069130379774,443.8995157105674,0.003297841191011236,0.00330997539774459,0.003659777755150555,0.0014473472681951292,0.0015012407872046175,0.0017130899627602874
9,1.0,1.0,6.0,0.15836632716628446,0.1642101713498521,0.0,274.78544203268194,285.62901637479996,371.81200336860434,430.6886962144238,446.3739383014112,600.8481796665088,1.3352847197089472,1.2911573507357148,1.7047857881030795,121.27930705654704,125.50299694031281,217.12575828440868,0.0037586748110824,0.003961509701270418,0.003389592590808006,0.003821733562726124,0.004268663211100755,0.0005359839015651847
10,1.0,0.0,7.0,0.08569757126952157,0.0,0.0,146.38500985763667,0.0,0.0,379.9245383371985,0.0,0.0,-0.9698601479009968,0.0,0.0,291.1682904566072,0.0,0.0,0.0032448974751650875,0.0,0.0,0.001212998813102822,0.0,0.0
11,1.0,1.0,7.0,0.146505922141848,0.0,0.0,296.33072042815337,0.0,0.0,710.274287088893,0.0,0.0,-4.384449629483004,0.0,0.0,429.7071695383605,0.0,0.0,0.0034224195087568187,0.0,0.0,0.000791950907101536,0.0,0.0
0,2.0,0.0,1.0,0.008784611988761758,0.0,0.8638300313839166,200.4056776317301,271.1487844857367,308.23721534652225,317.1094334588539,428.6882553073022,593.4886989003742,-2.2004276735598323,-1.4325784660186944,-2.6332377001890013,178.44763949413615,145.74281148504164,174.3793935625703,0.0033700694001401544,0.004403230900552486,0.004197241795974383,0.0041894827181272395,0.005483995312461262,0.0028992772085966035
1,2.0,1.0,1.0,0.21352390592510848,0.12911921797557846,0.0,673.4500189268347,489.9888635638678,105.75097286918441,1017.2305245231903,821.0814073667059,299.5359605799454,-0.1005847513719718,-0.4838346162969739,0.10390420240951259,80.9848761835596,59.703509420974406,37.46562803944278,0.001798965730612245,0.002417873471485037,0.001383543775362319,0.0008448180981884058,0.001952210033097934,0.0004821391832485771
2,2.0,0.0,2.0,0.0,0.286809534746968,0.0,243.30872969399277,373.30480137505464,266.2156617188722,375.5800668855946,698.2401802674808,406.3463015546644,-2.479864255553505,-2.858866780848517,-0.2418957114783009,234.99506468417385,246.1085624833574,163.95994952172435,0.0031331754809045226,0.003241524317441159,0.0017742909385749387,0.002627147820114231,0.0030170992258275993,0.0008242433944442355
3,2.0,1.0,2.0,0.0,0.5545377879468011,0.0,435.2989459800705,617.2140911114308,1.3851629886645604,819.655018022892,953.7694558634878,4.594065906887657,-2.026827273876403,-0.32158670507071696,1.246930952489943,300.5834024070065,268.50079817951877,102.52824426994408,0.002290147387272727,0.002080421359649123,0.002547776655172414,0.0007761506721354498,0.0008838031378506922,0.0006537870608396126
4,2.0,0.0,3.0,0.2944207418385159,0.09280407560672976,0.0,279.07427489819474,454.4503613985774,346.64648705125495,468.53384413173285,672.3771703724678,579.5032012706932,-0.806911697128556,-0.9153940050168645,-0.6557772389263956,85.91114513369673,206.71253010452642,93.83626104692816,0.0025776598441678194,0.002658603931459376,0.0033358755175350702,0.0011580177604829304,0.0016391719755308903,0.002328633320536182
5,2.0,1.0,3.0,0.0,0.4999662912353384,0.0,902.7136076465349,517.4402073821254,515.9395604435,1270.098082986349,590.5288919878157,1010.6707211567916,0.7320423850751084,-2.6142966825408576,0.16254804421353247,208.56167358071943,191.63516346445368,34.79181696370695,0.0025185734427994617,0.0042696486726457395,0.002532537566119274,0.00107949590550742,0.0037816587985001517,0.002157251340070698
6,2.0,0.0,5.0,0.1762261265746889,0.3724288013974952,0.02276727905617794,353.4821834542338,538.9597268151286,371.5241853245565,572.6295663037392,642.968890406498,854.6605840660608,-0.9053322461116664,-3.227480933356939,-0.1774975852085747,197.4764329536549,314.9956763710487,75.5491517533196,0.003480836395212096,0.0038973455688405797,0.0031389147428892215,0.002001076142588144,0.002779457991149108,0.0026519938246972424
7,2.0,1.0,5.0,0.0,0.10693091972796477,0.0,723.7467125407524,770.7120219821657,353.8663371277702,1142.2695546018251,930.2718317607049,828.245704015604,0.16911770891987835,0.6800876327582662,0.41422339153081894,75.09720171371995,75.56085017668786,41.32151121297171,0.0020740356096551724,0.0052624841343612335,0.002478410825085324,0.0010794804727621064,0.0035035343821177246,0.0012640023692832656
8,2.0,0.0,6.0,0.0,0.0,0.14250643181511516,370.5836501928311,353.2808245823555,322.1188232333796,524.5780951375776,489.4427557546931,469.7249073456688,0.6350631100348724,1.0719225669732457,-2.8790664857734125,124.76587437274408,144.1445958568545,169.5339707203651,0.0036171970885972107,0.003661802129647283,0.0026916365706340377,0.00307636899290221,0.0032056994931688957,0.0015222829400276456
9,2.0,1.0,6.0,0.3057954872882217,0.3057954872882217,0.0,661.0342580856117,780.7351719628584,465.5664283557672,1541.216357413914,1726.292776262816,719.4127722004431,-0.17466022866065312,-0.2981193238175297,-0.9687617894321268,83.28115273611462,92.17406551157863,181.64015749428805,0.0026688645813771517,0.002421091420415225,0.0020647954542728636,0.0013860054492716599,0.0008871860708136028,0.0012741059309239956
10,2.0,0.0,7.0,0.0,0.0,0.0,361.7956934043258,0.0,0.0,552.4412020187344,0.0,0.0,-0.6648518495354109,0.0,0.0,102.34756177071212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2985288950048983,0.0,0.0,88.99158598782451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,1.0,0.0,0.031130475073798913,0.0,592.7045979742084,417.60518253813336,758.638713362976,851.7206546555291,673.1663834747828,1035.7411529591336,-1.4418488187109186,-0.45642787344470465,-1.883568594942154,232.07481614811124,298.14789862807595,134.65452581624817,0.0020610162646566162,0.002265956768566494,0.0033215167953703703,0.0009197237659354174,0.0016077139724145506,0.002476451137351452
1,3.0,1.0,1.0,0.0,0.16748076925586067,0.0,172.86216086014534,268.5434004543755,399.05473147420304,321.36053094852355,397.1334970812973,657.8998584347966,-0.547339175073392,-0.40366998088810385,0.12643391179186853,160.14594088175338,63.37024113141615,35.943029577153254,0.003620535097392638,0.004048974864422202,0.004107068436301033,0.0015420331520146276,0.0012712192767593195,0.004973156469192295
2,3.0,0.0,2.0,0.1086430324953766,0.0,0.4809424759334011,445.76173088813624,545.9244434807539,437.82727809354043,723.5286003545798,770.3122882580587,747.5717053437743,-2.663294956160879,-0.6516477468783494,-0.27757556385890536,202.21586787780188,88.12463880035062,209.98840352491473,0.0022149887783543365,0.002720012352786885,0.0034415503549959383,0.0015874271474101789,0.0030006077116171512,0.0035852162747856127
3,3.0,1.0,2.0,0.07078303886007997,0.0,0.0,513.6481819796069,179.99963419364565,348.52347614508335,572.4912866609823,384.5649828893864,483.33828596697623,0.4303594623768966,-1.4082012724281239,-0.1492144987972172,433.4655358024503,293.1559385776245,33.496353962957876,0.0040872635120967745,0.003905174433460076,0.004108703383432963,0.0009215305459311314,0.0021296944286661027,0.002601529294838861
4,3.0,0.0,3.0,0.0,0.0,0.0,500.1671078899413,581.7952115688306,969.6170896414802,777.8802485366598,875.922464077409,1202.5521428790958,-1.8736466262324403,-1.9120693332703718,0.11790841671885373,240.8626893772586,249.3108123737209,70.89968525639117,0.0029603246916932906,0.0025952234783549783,0.002156931805993691,0.002443455177263888,0.0021323923214175847,0.0010800801392233624
5,3.0,1.0,3.0,0.8677470020708478,0.8677470020708478,0.0,175.34997316374046,184.18146668738038,272.505899177946,291.4968878406062,304.4852201461314,498.42783317053204,0.9067241965512193,0.9188345752711123,0.34889238278023676,227.50327601942342,185.70506037869723,28.844259535017382,0.0045043850807705305,0.004550465290310077,0.004316662799079754,0.0011755950619941062,0.0009570115308083316,0.0008542600332180532
6,3.0,0.0,5.0,0.020704842406538967,0.15599054228453357,0.0,565.8786345735268,358.1138548372276,590.0422238065192,781.4081610712093,528.3252080397223,751.5427986671882,-1.6503073286530296,-3.2773786776651797,-0.3561244339254519,152.9580625875798,336.5853690338476,45.3359141525211,0.0034370726634264884,0.003366188385019711,0.002609151838146407,0.0021273866123907455,0.002560221357968491,0.0015075080180962234
7,3.0,1.0,5.0,0.0,0.21028697809387537,0.0,180.66234415216056,230.82533936584625,249.3101554958505,387.8269562895137,449.2753340358043,429.6892814201896,-2.1667045320644642,-0.3531904447449068,0.04377048530502239,218.6404322517158,206.96698492578008,36.152043556711995,0.00442898775,0.004202635953971789,0.004500514895738894,0.0012586308473190057,0.001289838028392252,0.0012384130876143702
8,3.0,0.0,6.0,0.0,0.0,0.0,892.0510648394736,587.5948740953112,944.9025575844656,1409.6641341017578,920.4372139342591,1334.345602516878,-4.187172664556789,-0.9819901775816614,-1.8507784920749233,252.76352337116708,204.4928902478607,201.68327396887454,0.0031421421657963446,0.0035806417963800906,0.0029268300168970814,0.0028802283192299687,0.003616791924835285,0.002134613347913255
9,3.0,1.0,6.0,0.0,0.0,0.0,178.18455379812613,131.06559569756874,453.97095643812906,363.16579678161827,256.4289012292606,606.3235938778408,10.349238091627754,8.624359051699534,2.457210488458316,549.0751539013731,568.5542961993413,240.22443292089,0.004152058169142857,0.004453855425140112,0.0036468775964090556,0.0012507847083574125,0.0012430621211790426,0.0012951371853542623
